; TAZ,COUNTY,CITY,TOTHH,TOTPOP,TOTEMP,EMPEDU,EMPFOO,EMPGOV,EMPIND,EMPMED,EMPOFC,EMPOTH,EMPRET,EMPAGR
278,Fresno,Unincorporated,454.0,1500.0,87.06837899055515,0.0,15.0,0.0,4.0,28.0,18.0,20.0,0.0,2.068378990555152
279,Fresno,Unincorporated,514.0,1755.0,59.0,0.0,39.0,0.0,1.0,5.0,0.0,2.0,12.0,0.0
280,Fresno,Unincorporated,147.0,504.0,12.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0
281,Fresno,Unincorporated,174.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,Fresno,Unincorporated,444.0,1598.0,56.54703192444122,0.0,0.0,0.0,4.0,21.0,11.0,2.0,2.0,16.547031924441217
283,Fresno,Unincorporated,336.0,1152.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
284,Fresno,Unincorporated,153.0,522.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
285,Fresno,Unincorporated,347.0,1182.0,16.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0
286,Fresno,Unincorporated,346.0,995.0,55.71644597704,1.50935877890952,8.897272801992958,0.9797592073623204,0.0,7.196314987102242,2.6417586717963197,0.0,34.49198152987664,0.0
287,Fresno,Unincorporated,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,Fresno,Unincorporated,499.0,1847.0,79.10256848583273,44.0,0.0,0.0,17.0,12.0,3.0,0.0,0.0,3.102568485832728
289,Fresno,Unincorporated,0.0,0.0,280.0,267.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
290,Fresno,Unincorporated,127.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,Fresno,Unincorporated,78.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,Fresno,Unincorporated,1.0,3.0,19.64960041027394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.64960041027394
293,Fresno,Unincorporated,3.0,10.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
294,Fresno,Unincorporated,326.0,981.0,23.0,0.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0
295,Fresno,Unincorporated,655.0,1968.0,42.0,0.0,10.0,0.0,5.0,20.0,0.0,2.0,5.0,0.0
296,Fresno,Unincorporated,739.0,2516.0,37.10256848583273,0.0,0.0,0.0,19.0,11.0,2.0,2.0,0.0,3.102568485832728
297,Fresno,Unincorporated,112.0,384.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
298,Fresno,Unincorporated,41.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Fresno,Unincorporated,133.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,Fresno,Unincorporated,20.0,68.0,4.034189495277577,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.034189495277576
301,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,Fresno,Unincorporated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,Fresno,Coalinga,0.0,0.0,139.52042469076997,0.0,0.0,0.0,97.66429728353901,0.0,0.0,41.85612740723099,0.0,0.0
322,Fresno,Coalinga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
