TAZ,SOI,Base_EMP,transit_skim,IDX_Transit,sov_skim,IDX_SOV
1089,Fresno,6.0,58353.0,0.5478927203065134,212257.03591477446,0.8714859437751004
1090,Fresno,35.0,30193.0,0.3652618135376756,208885.8267207357,0.8418674698795181
1091,Fresno,768.0,126927.0,0.9553001277139208,223255.6712610641,0.9754016064257028
1092,Fresno,288.0,121146.0,0.9374201787994891,220765.23373155284,0.9528112449799196
1093,Fresno,225.0,121971.0,0.9412515964240102,217258.52174068798,0.9116465863453815
1094,Fresno,203.0,118643.0,0.9272030651340997,215722.64221660272,0.8980923694779116
1095,Fresno,186.0,94449.0,0.7803320561941252,212485.8763673202,0.8734939759036144
1096,Fresno,61.0,88575.0,0.7305236270753512,211351.27362965714,0.8644578313253012
1097,Fresno,107.0,71746.0,0.6551724137931034,207403.16993151634,0.8278112449799196
1098,Fresno,90.0,69606.0,0.6360153256704981,207562.56107215423,0.8288152610441767
1099,Fresno,73.0,63576.0,0.5925925925925926,203791.18378409868,0.7926706827309237
1100,Fresno,28.0,47241.0,0.47381864623243936,201891.5550443699,0.7710843373493976
1101,Fresno,8.0,20409.0,0.2848020434227331,204349.40264701698,0.8007028112449799
1102,Fresno,34.0,0.0,0.0,199943.08751134266,0.7505020080321285
1103,Fresno,0.0,0.0,0.0,198934.1047821705,0.7409638554216867
1104,Fresno,437.0,0.0,0.0,199661.9018990741,0.7479919678714859
1105,Fresno,104.0,0.0,0.0,196946.93804357178,0.7223895582329317
1106,Fresno,37.0,0.0,0.0,192597.21759407417,0.6817269076305221
1107,Fresno,52.0,118559.0,0.9259259259259259,222835.90513940464,0.9733935742971888
1108,Fresno,14.0,115441.0,0.909323116219668,219074.36928719445,0.929718875502008
1109,Fresno,236.0,112750.0,0.8901660280970626,219238.97427663347,0.9307228915662651
1110,Fresno,31.0,98404.0,0.7994891443167306,216096.4992581075,0.9016064257028112
1111,Fresno,79.0,99021.0,0.8045977011494253,216247.55815461796,0.9046184738955824
1112,Fresno,124.0,83061.0,0.6973180076628352,213551.9740176284,0.8830321285140562
1113,Fresno,584.0,101340.0,0.8199233716475096,213181.19780528836,0.8805220883534136
1114,Fresno,192.0,91455.0,0.7535121328224776,209825.2124888307,0.8488955823293173
1115,Fresno,253.0,85031.0,0.7088122605363985,207627.2049305227,0.8303212851405622
1116,Fresno,468.0,69832.0,0.6398467432950191,208082.86912817674,0.8373493975903614
1117,Fresno,719.0,70581.0,0.6462324393358876,204144.44158677338,0.7961847389558233
1118,Fresno,462.0,66037.0,0.6066411238825032,204304.1042629368,0.7996987951807228
1119,Fresno,362.0,56168.0,0.5338441890166028,201042.66865930986,0.7615461847389559
1120,Fresno,246.0,44180.0,0.44699872286079184,200540.57184405634,0.7560240963855421
1121,Fresno,407.0,51365.0,0.5146871008939975,201647.20738838997,0.7690763052208835
1122,Fresno,99.0,4460.0,0.10727969348659004,194376.21389440412,0.6992971887550201
1123,Fresno,31.0,29849.0,0.36270753512132825,197561.0991579197,0.7294176706827309
1124,Fresno,24.0,11539.0,0.19284802043422733,194862.08058583623,0.7028112449799196
1125,Fresno,19.0,6135.0,0.13282247765006386,196402.88759028126,0.7163654618473896
1126,Fresno,26.0,4533.0,0.10983397190293742,192155.9224707171,0.678714859437751
1127,Fresno,55.0,4504.0,0.10855683269476372,195557.48600045004,0.7083333333333334
1128,Fresno,317.0,0.0,0.0,189082.14099429973,0.6480923694779116
1129,Fresno,1.0,0.0,0.0,189441.69114439993,0.6516064257028112
1130,Fresno,28.0,91563.0,0.756066411238825,216703.02813168807,0.9071285140562249
1131,Fresno,106.0,90284.0,0.7458492975734355,213989.0166323721,0.8865461847389559
1132,Fresno,1.0,120143.0,0.9323116219667944,219343.22964597642,0.9352409638554217
1133,Fresno,169.0,94330.0,0.7790549169859514,213157.98834530768,0.8795180722891566
1134,Fresno,266.0,103112.0,0.8352490421455939,211299.9821253811,0.8634538152610441
1135,Fresno,168.0,100610.0,0.8148148148148148,209471.0129362957,0.8448795180722891
1136,Fresno,559.0,88639.0,0.7318007662835249,207294.5926460781,0.8263052208835341
1137,Fresno,910.0,82533.0,0.6947637292464879,208360.08281880652,0.8393574297188755
1138,Fresno,375.0,84348.0,0.7049808429118773,205389.25538377475,0.8092369477911646
1139,Fresno,504.0,70639.0,0.6475095785440613,203550.74074045228,0.7896586345381527
1140,Fresno,548.0,44531.0,0.4508301404853129,199347.6940127574,0.7449799196787149
1141,Fresno,309.0,48927.0,0.4929757343550447,200812.06366170943,0.7595381526104418
1142,Fresno,239.0,25700.0,0.3231162196679438,198535.5151122454,0.7374497991967871
1143,Fresno,281.0,50785.0,0.508301404853129,200477.06699312956,0.7550200803212851
1144,Fresno,74.0,29734.0,0.35887611749680715,197239.70565024496,0.7264056224899599
1145,Fresno,43.0,5886.0,0.13026819923371646,192021.6634758896,0.6782128514056225
1146,Fresno,217.0,5712.0,0.12643678160919541,189970.17676480277,0.6566265060240963
1147,Fresno,47.0,0.0,0.0,189308.1573404177,0.6506024096385542
1148,Fresno,316.0,78917.0,0.6883780332056194,219634.82852441186,0.9387550200803213
1149,Fresno,190.0,93831.0,0.7752234993614304,221627.4427079985,0.9613453815261044
1150,Fresno,12.0,100148.0,0.8109833971902938,223060.6207673083,0.9743975903614458
1151,Fresno,32.0,101556.0,0.8237547892720306,221491.88060276513,0.9588353413654619
1152,Fresno,898.0,80641.0,0.6896551724137931,217947.26511553407,0.9186746987951807
1153,Fresno,708.0,76121.0,0.6730523627075351,212782.89153900876,0.8770080321285141
1154,Fresno,273.0,103501.0,0.8378033205619413,210090.1798070076,0.8524096385542169
1155,Fresno,347.0,102528.0,0.8288633461047255,207766.51398042944,0.8333333333333334
1156,Fresno,152.0,87597.0,0.7254150702426565,204187.75262328348,0.7971887550200804
1157,Fresno,1161.0,83190.0,0.698595146871009,202176.35793500562,0.7766064257028112
1158,Fresno,68.0,16755.0,0.24776500638569604,196908.33411052666,0.7213855421686747
1159,Fresno,284.0,0.0,0.0,196501.26683352928,0.7168674698795181
1160,Fresno,16.0,0.0,0.0,194021.56647308895,0.6967871485943775
1161,Fresno,12.0,0.0,0.0,193074.88526305585,0.6867469879518072
1162,Fresno,106.0,4075.0,0.09450830140485313,187062.56677255165,0.6315261044176707
1163,Fresno,159.0,4400.0,0.10344827586206896,186333.24699909525,0.6229919678714859
1164,Fresno,112.0,0.0,0.0,186140.3321669576,0.6224899598393574
1165,Fresno,250.0,0.0,0.0,213718.88509010262,0.8840361445783133
1166,Fresno,191.0,0.0,0.0,209544.7639146867,0.8458835341365462
1167,Fresno,244.0,92780.0,0.7662835249042146,207599.5524821033,0.8298192771084337
1168,Fresno,913.0,94135.0,0.776500638569604,206196.67673177735,0.8147590361445783
1169,Fresno,141.0,25817.0,0.3269476372924649,201897.14543555098,0.7715863453815262
1170,Fresno,133.0,25486.0,0.3218390804597701,198940.5191786115,0.7414658634538153
1171,Fresno,38.0,0.0,0.0,195489.93897793384,0.7078313253012049
1172,Fresno,67.0,0.0,0.0,193179.05069038068,0.6877510040160643
1173,Fresno,48.0,0.0,0.0,191100.58115302547,0.6676706827309237
1174,Fresno,72.0,0.0,0.0,191648.50987873232,0.6736947791164659
1175,Fresno,174.0,0.0,0.0,184283.03335018578,0.6044176706827309
1176,Fresno,39.0,0.0,0.0,182978.62146956252,0.5923694779116466
1177,Fresno,37.0,0.0,0.0,182923.83732818428,0.5908634538152611
1178,Fresno,252.0,9887.0,0.1724137931034483,204067.38433870845,0.7951807228915663
1179,Fresno,474.0,90548.0,0.7484035759897829,205263.83322698344,0.8087349397590361
1180,Fresno,180.0,92206.0,0.7611749680715197,203561.24871849746,0.7906626506024096
