parcelid,SOI,COMMUNITY,TAZ,HU_NET,EMP_NET,TOTAL_SCORE,TAZ_HU_Target,TAZ_EMP_Target,SOI_HU_P,SOI_EMP_P,DEV,DEV_TAZ,DEV_SOI,SOI_HU_Target,SOI_EMP_Target
404917,Clovis, ,200,2.7537698822400003,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
404918,Clovis, ,200,3.5248041046400003,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
404919,Clovis, ,200,2.7409649488000003,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
404920,Clovis, ,200,3.5376267555200003,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
404921,Clovis, ,200,0.7893526201600001,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
404922,Clovis, ,200,0.9887953420799999,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405026,Clovis, ,200,0.6877174886399999,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405027,Clovis, ,200,4.12261246176,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405028,Clovis, ,200,1.4182125443200002,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405029,Clovis, ,200,0.21570674944000004,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405030,Clovis, ,200,1.2661505500799999,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
405031,Clovis, ,200,0.42172837408,0.0,5.811890198407742,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
18489,Clovis, ,190,3.4489859248,0.0,5.8033027319883415,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
31608,Clovis, ,190,0.30886415040000004,0.0,5.8033027319883415,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
31611,Clovis, ,190,0.31099517696,0.0,5.8033027319883415,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
31612,Clovis, ,190,0.29522145952,0.0,5.8033027319883415,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
31613,Clovis, ,190,0.29323387392,0.0,5.8033027319883415,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
31614,Clovis, ,190,0.30162156128,0.0,5.8033027319883415,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
31615,Clovis, ,190,0.30272110752000003,0.0,5.8033027319883415,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441517,Clovis, ,2738,0.0,0.17439902208,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441518,Clovis, ,2738,0.0,0.29846896895999997,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441519,Clovis, ,2738,0.0,0.29566629888,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441520,Clovis, ,2738,0.0,0.31613188352,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441521,Clovis, ,2738,0.0,0.33658365696000003,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441522,Clovis, ,2738,0.0,0.35702132224000005,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441523,Clovis, ,2738,0.0,0.13905163008,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441525,Clovis, ,2738,0.0,1.92494688768,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441526,Clovis, ,2738,0.0,2.56000124928,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441527,Clovis, ,2738,0.0,2.5600052736000003,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441528,Clovis, ,2738,0.0,2.56000124928,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441529,Clovis, ,2738,0.0,2.56000124928,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441530,Clovis, ,2738,0.0,0.9835107763200002,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441531,Clovis, ,2738,0.0,0.06985913088,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441532,Clovis, ,2738,0.0,1.73692893184,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441533,Clovis, ,2738,0.0,2.56000124928,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441534,Clovis, ,2738,0.0,2.55999722496,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
441535,Clovis, ,2738,0.0,2.55999722496,5.792925627865388,0.0,0.0,0.0,0.0,2035,0,1,5835.372137075944,4011.0
